Cod. Promo��o    ;Ds. Promo��o       ;Ds. Referencia     ;Cod. Produto       ;Dt. Inicio        ;Dt. Final      ;Vl. Anterior   ;Vl. Promo��o
169;50% - JEANS + POESIA CONCRETA;M3420009;46231;19/05/2020;31/12/2021;129;64,5
176;BLACK 2020;M3416006;46825;13/11/2020;31/12/2021;199;119,4
176;BLACK 2020;M3416006;46828;13/11/2020;31/12/2021;199;119,4
169;50% - JEANS + POESIA CONCRETA;M3423027;47120;19/05/2020;31/12/2021;69;34,5
169;50% - JEANS + POESIA CONCRETA;M3421027;46477;19/05/2020;31/12/2021;199;99,5
193;PROMOCAO MOLETOM 30;M3528023;48942;10/03/2021;30/06/2021;219;109,5
193;PROMOCAO MOLETOM 30;M3528051;49492;10/03/2021;30/06/2021;179;89,5
193;PROMOCAO MOLETOM 30;M3528051;49494;10/03/2021;30/06/2021;179;89,5
193;PROMOCAO MOLETOM 30;M3528052;49499;10/03/2021;30/06/2021;179;89,5
180;SALE 2021 CORRETA;M3623024;52709;26/12/2020;31/03/2021;68;34
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3411016;46033;06/04/2020;31/12/2021;99;49,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3411016;46034;06/04/2020;31/12/2021;99;49,5
193;PROMOCAO MOLETOM 30;M3528018;48908;10/03/2021;30/06/2021;199;99,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3610022;52955;23/03/2021;30/06/2021;99;69,3
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3423025;46437;06/04/2020;31/12/2021;89;44,5
180;SALE 2021 CORRETA;M3420010;47175;26/12/2020;31/03/2021;159;79,5
180;SALE 2021 CORRETA;M3624046;52014;26/12/2020;31/03/2021;99;49,5
180;SALE 2021 CORRETA;M3413034;48967;26/12/2020;31/03/2021;139;69,5
193;PROMOCAO MOLETOM 30;M3528013;48982;10/03/2021;30/06/2021;189;94,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3724004;54044;23/03/2021;30/06/2021;118;82,6
194;PROMOCAO VENTO DE MUDANCAS 30%;M3724004;54046;23/03/2021;30/06/2021;118;82,6
193;PROMOCAO MOLETOM 30;M3528020;48939;10/03/2021;30/06/2021;179;89,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3528058;50002;23/03/2021;30/06/2021;109;76,3
176;BLACK 2020;M3628014;50720;13/11/2020;31/12/2021;219;153,3
169;50% - JEANS + POESIA CONCRETA;M3416007;47041;19/05/2020;31/12/2021;229;114,5
169;50% - JEANS + POESIA CONCRETA;M3416007;47043;19/05/2020;31/12/2021;229;114,5
180;SALE 2021 CORRETA;M3628011;50628;26/12/2020;31/03/2021;229;114,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3729003;54200;23/03/2021;30/06/2021;151;105,7
169;50% - JEANS + POESIA CONCRETA;M3421027;46626;19/05/2020;31/12/2021;199;99,5
169;50% - JEANS + POESIA CONCRETA;M3421027;46629;19/05/2020;31/12/2021;199;99,5
170;5% COLECAO NOVA;M3413007;47415;21/05/2020;31/12/2021;169;160,55
170;5% COLECAO NOVA;M3413007;47416;21/05/2020;31/12/2021;169;160,55
180;SALE 2021 CORRETA;M3619013;51805;26/12/2020;31/03/2021;139;69,5
180;SALE 2021 CORRETA;M3619013;51808;26/12/2020;31/03/2021;139;69,5
180;SALE 2021 CORRETA;M3610014;52042;26/12/2020;31/03/2021;99;49,5
180;SALE 2021 CORRETA;M3618021;52043;26/12/2020;31/03/2021;174;87
180;SALE 2021 CORRETA;M3618021;52045;26/12/2020;31/03/2021;174;87
180;SALE 2021 CORRETA;M3618021;52046;26/12/2020;31/03/2021;174;87
169;50% - JEANS + POESIA CONCRETA;M3429020;46718;19/05/2020;31/12/2021;99;49,5
180;SALE 2021 CORRETA;M3624044;52330;26/12/2020;31/03/2021;109;54,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3624047;52346;23/03/2021;30/06/2021;122;85,4
180;SALE 2021 CORRETA;M3624046;52370;26/12/2020;31/03/2021;99;49,5
174;BLACK 2020;M3528061;50060;10/11/2020;31/12/2021;179;89,5
193;PROMOCAO MOLETOM 30;M3528012;48838;10/03/2021;30/06/2021;169;84,5
193;PROMOCAO MOLETOM 30;M3528012;48839;10/03/2021;30/06/2021;169;84,5
193;PROMOCAO MOLETOM 30;M3528012;48840;10/03/2021;30/06/2021;169;84,5
176;BLACK 2020;M3528048;50347;13/11/2020;31/12/2021;219;153,3
176;BLACK 2020;M3621014;50850;13/11/2020;31/12/2021;159;111,3
194;PROMOCAO VENTO DE MUDANCAS 30%;M3724002;53822;23/03/2021;30/06/2021;158;110,6
169;50% - JEANS + POESIA CONCRETA;M3424028;46493;19/05/2020;31/12/2021;99;49,5
174;BLACK 2020;M3512011;49708;10/11/2020;31/12/2021;99;49,5
174;BLACK 2020;M3512011;49709;10/11/2020;31/12/2021;99;49,5
174;BLACK 2020;M3513049;50193;10/11/2020;31/12/2021;99;49,5
174;BLACK 2020;M3513049;50195;10/11/2020;31/12/2021;99;49,5
193;PROMOCAO MOLETOM 30;M3528060;50203;10/03/2021;30/06/2021;239;119,5
180;SALE 2021 CORRETA;M3623005;53553;26/12/2020;31/03/2021;0;0
174;BLACK 2020;M3512002;48685;10/11/2020;31/12/2021;89;44,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3525002;48917;23/03/2021;30/06/2021;179;125,3
194;PROMOCAO VENTO DE MUDANCAS 30%;M3110019;51870;23/03/2021;30/06/2021;109;76,3
194;PROMOCAO VENTO DE MUDANCAS 30%;M3110019;51871;23/03/2021;30/06/2021;109;76,3
193;PROMOCAO MOLETOM 30;M3528023;49247;10/03/2021;30/06/2021;219;109,5
193;PROMOCAO MOLETOM 30;M3528023;49249;10/03/2021;30/06/2021;219;109,5
180;SALE 2021 CORRETA;M3618013;51213;26/12/2020;31/03/2021;159;79,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3424039;46312;06/04/2020;31/12/2021;99;49,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3620019;52162;23/03/2021;30/06/2021;139;97,3
194;PROMOCAO VENTO DE MUDANCAS 30%;M3624047;52010;23/03/2021;30/06/2021;122;85,4
194;PROMOCAO VENTO DE MUDANCAS 30%;M3718003;53834;23/03/2021;30/06/2021;258;180,6
